"Name","Entity","Serial Number","Device ID","Status","Assistance - Number of Tickets","Locations","Type","Contracts - Name","Model","Cartridges","Networking - IP","Plugins - Man. date - Manufacturing Date","Comments",
"KM Bizhub C3100P-04 (43)","Root Entity > Express","A6DR012107051","7K03155","Active","2","JKB > 3004","Col Ink","No Contract (11)","KM Bizhub C3100P","Total: 12 (11 used, 1 worn)","10.5.85.245","01-04-2018","",
"HP LaserJet 4240-2 (23)","Root Entity > Express","CNRXJ95901","7K03154","Active","1","JKB > 3006 S","BW Ink","No Contract (11)","HP LaserJet 4240","Total: 2 (2 used, 0 worn)","10.5.85.244","08-27-2007","",
"HP LaserJet 4240-3 (24)","Root Entity > Express","CNBXD29511","7K03153","Active","1","JKB > 3010","BW Ink","No Contract (11)","HP LaserJet 4240","Total: 2 (2 used, 0 worn)","10.5.85.242","08-27-2007","",
"KM Bizhub C3100P-03 (42)","Root Entity > Express","A6DR012107017","7K03041","Active","5","JKB > 2nd Flr Lobby","Col Ink","No Contract (11)","KM Bizhub C3100P","Total: 12 (11 used, 1 worn)","10.5.81.129","08-01-2017","Printer has a broken part on the fuser
duplex printing has been disabled",
"Xerox WorkCentre 7855-1 (100)","Root Entity > Express > Department","MX4318600","","Active > not ours","0","UPB > 298 - Mail Office","Col Ink","Contract N/A (12)","Xerox WorkCentre 7855","No Cartridge","10.5.10.245","04-04-2016","",
"Brother HL-L3230CDW-7 (146)","Root Entity > Express > Department","U65175L2N876971","","Active","0","UPB > 291 - Warehouse Office","Col Ink","Contract N/A (12)","Brother HL-L3230CDW","Total: 9 (8 used, 1 worn)","10.5.10.30","04-01-2023","",
"KM Bizhub C3351-2 (153)","Root Entity > Express > Department","A92F011010657","","Active","0","UPB > 205 - Print Lobby","Col Ink","DEX High (15)","KM Bizhub C3351","Total: 12 (10 used, 2 worn)","10.5.9.234","06-01-2018","",
"Brother HL-L3230CDW-4 (143)","Root Entity > Express > Department","U65175K2N863336","","Active","1","UPB > 238 - Julie's Office","Col Ink","Contract N/A (12)","Brother HL-L3230CDW","Total: 13 (8 used, 5 worn)","10.5.9.212","04-01-2023","",
"Brother HL-L3230CDW-6 (145)","Root Entity > Express > Department","U65175L2N877024","","Active","0","UPB > 287A - Will Call","Col Ink","Contract N/A (12)","Brother HL-L3230CDW","Total: 11 (8 used, 3 worn)","10.5.9.174","04-01-2023","",
"HP Color LaserJet Pro M255dw-1 (165)","Root Entity > Express > Department","VNB3S47742","","Active","0","UPB > 204A - Doug & Ryan","Col Ink","No Contract (11)","HP Color LaserJet Pro M255dw","Total: 7 (5 used, 2 worn)","10.5.9.168","07-01-2021","",
"KM Bizhub 4050-1 (157)","Root Entity > Express > Department","A6VF011030911","","Active","0","UPB > 265 - Roma's Office","BW Ink","No Contract (11)","KM Bizhub 4050","Total: 2 (2 used, 0 worn)","10.5.9.160","11-01-2017","Can't swap with a Dell because Roma needs a scanner. Maybe get her a Brother?",
"HP Color LaserJet Pro MFP M479fdw-1 (166)","Root Entity > Express > Department","CNCRQ8Z452","","Active","0","UPB > 272 - Customer Support","Col Ink","No Contract (11)","HP Color LaserJet Pro M479fdw","Total: 13 (5 used, 8 worn)","10.5.9.36","08-01-2022","",
"KM Bizhub 284e-1 (156)","Root Entity > Express > Department","A61G011014367","","Active","0","UPB > 256","BW Ink","No Contract (11)","KM Bizhub 284e","Total: 3 (3 used, 0 worn)","10.5.8.159","05-01-2016","",
"HP Color LaserJet CP4025-1 (3)","Root Entity > Express","JPBCC7T0L5","7517317","Active","0","CTB > Lobby","Col Ink","No Contract (11)","HP Color LaserJet CP4025","Total: 7 (7 used, 0 worn)","10.2.127.246","07-28-2011","",
"HP Color LaserJet CP4025-6 (8)","Root Entity > Express","JPBCC6X2RJ","8043782","Active","2","MCKB > 180","Col Ink","DEX High (15)","HP Color LaserJet CP4025","Total: 7 (7 used, 0 worn)","10.2.102.235","07-01-2011","",
"HP LaserJet P4015-1 (36)","Root Entity > Express","CNBY100057","7500652","Active","0","NICB > 175","BW Ink","No Contract (11)","HP LaserJet P4015","Total: 2 (2 used, 0 worn)","10.2.93.119","03-04-2008","Not in FMAudit",
"KM Bizhub C458-1 (53)","Root Entity > Express","A79M011014593","9479 7201","Active","4","BNSN > Fishbowl","Col Ink","DEX Low (16)","KM Bizhub C458","Total: 10 (10 used, 0 worn)","10.2.92.250","06-01-2017","",
"HP Color LaserJet CP4525-1 (9)","Root Entity > Express","JPBCB4D08G","7199089","Active","6","BNSN > Basement","Col Ink","No Contract (11)","HP Color LaserJet CP4525","Total: 7 (7 used, 0 worn)","10.2.92.249","04-13-2010","",
"KM Bizhub C3100P-09 (48)","Root Entity > Express","A6DR012106991","9519 9207","Active","5","TMCB > Lobby","Col Ink","No Contract (11)","KM Bizhub C3100P","Total: 13 (11 used, 2 worn)","10.2.90.234"," ","",
"HP LaserJet 400 M401-1 (21)","Root Entity > Express","VNB3N21672","7K03157","Active","0","JKB > 4051","BW Ink","No Contract (11)","HP LaserJet 400 M401","Total: 2 (2 used, 0 worn)","10.2.86.246","01-07-2012","",
"HP Color LaserJet CP4025-4 (6)","Root Entity > Express","JPBCD2V1DF","7515343","Active","1","JKB > 3rd Flr Lobby","Col Ink","DEX High (15)","HP Color LaserJet CP4025","Total: 7 (7 used, 0 worn)","10.2.82.10","02-27-2012","",
"HP Color LaserJet M750-1 (17)","Root Entity > Express","CNDCJ2405G","","Active","0","KMBL > 640","Col Ink","No Contract (11)","HP Color LaserJet M750","Total: 6 (6 used, 0 worn)","10.2.76.242","02-05-2016","",
"HP LaserJet P3005-2 (30)","Root Entity > Express","CNG1X10804","7K03158","Active","1","KMBL > 350","BW Ink","No Contract (11)","HP LaserJet P3005","Total: 2 (2 used, 0 worn)","10.2.75.243","10-21-2008","",
"KM Bizhub C3100P-07 (46)","Root Entity > Express","A6DR012107046","9519 9210","Active","1","KMBL > 1st Flr Lobby","Col Ink","No Contract (11)","KM Bizhub C3100P","Total: 13 (11 used, 2 worn)","10.2.73.254","08-01-2017","",
"HP LaserJet P3015-6 (192)","Root Entity > Express","VND3Q19635","7197299","Active","1","KMBL > 130","BW Ink","No Contract (11)","HP LaserJet P3015","Total: 2 (2 used, 0 worn)","10.2.73.250","09-01-2014","",
"KM Bizhub C3100P-06 (45)","Root Entity > Express","A6DR012106980","9519 9206 OR 7K03149","Active","1","KMBL > 100","Col Ink","No Contract (11)","KM Bizhub C3100P","Total: 12 (11 used, 1 worn)","10.2.73.245","08-01-2017","",
"HP LaserJet P4015-2 (37)","Root Entity > Express","CNDY345172","","Active","3","RB > Vending","BW Ink","No Contract (11)","HP LaserJet P4015","Total: 2 (2 used, 0 worn)","10.2.69.243","10-21-2008","",
"HP Color LaserJet CP4525-3 (11)","Root Entity > Express","JPBCC291M2","7K03169","Active","1","SFH > 249N","Col Ink","No Contract (11)","HP Color LaserJet CP4525","Total: 7 (7 used, 0 worn)","10.2.65.251","02-14-2011","",
